time,class,confidence,bbox
2025-08-24 01:11:34,person,0.44827884435653687,"[0.11556625366210938, 198.85409545898438, 42.231136322021484, 315.9776306152344]"
2025-08-24 01:11:34,person,0.7757157683372498,"[540.707763671875, 102.26053619384766, 571.552978515625, 240.46630859375]"
2025-08-24 01:11:34,person,0.7480613589286804,"[564.0379638671875, 115.60954284667969, 594.3367919921875, 221.93629455566406]"
2025-08-24 01:11:34,person,0.7149768471717834,"[0.13776874542236328, 122.54837036132812, 29.097564697265625, 214.78036499023438]"
2025-08-24 01:11:34,person,0.7101542353630066,"[478.0011291503906, 114.86697387695312, 514.4588623046875, 240.5360107421875]"
2025-08-24 01:11:34,person,0.6506376266479492,"[379.2684326171875, 162.57546997070312, 399.981689453125, 216.2132568359375]"
2025-08-24 01:11:34,person,0.49046626687049866,"[0.13637542724609375, 199.15711975097656, 41.987403869628906, 316.0897521972656]"
2025-08-24 01:11:34,handbag,0.45088109374046326,"[34.00084686279297, 268.97314453125, 105.41316986083984, 325.22576904296875]"
2025-08-24 01:11:34,person,0.7817279100418091,"[540.8526611328125, 102.24755859375, 572.3685302734375, 241.0325927734375]"
2025-08-24 01:11:34,person,0.7386161088943481,"[564.2652587890625, 116.37831115722656, 593.9305419921875, 220.8861541748047]"
2025-08-24 01:11:34,person,0.7096177339553833,"[478.1109924316406, 114.91968536376953, 514.396728515625, 240.60848999023438]"
2025-08-24 01:11:34,person,0.6319602131843567,"[378.91607666015625, 162.8927001953125, 398.29388427734375, 215.6436767578125]"
2025-08-24 01:11:34,person,0.5710573196411133,"[0.12426185607910156, 121.63186645507812, 29.290510177612305, 218.73934936523438]"
2025-08-24 01:11:34,handbag,0.4368862509727478,"[33.935890197753906, 267.6866455078125, 105.49188995361328, 325.07196044921875]"
2025-08-24 01:11:34,person,0.4251464903354645,"[0.11037445068359375, 198.85910034179688, 42.319114685058594, 315.7050476074219]"
2025-08-24 01:11:34,person,0.7819698452949524,"[540.9057006835938, 102.47716522216797, 571.9297485351562, 241.82379150390625]"
2025-08-24 01:11:34,person,0.7450405955314636,"[376.3769836425781, 162.65065002441406, 396.7014465332031, 216.27980041503906]"
2025-08-24 01:11:34,person,0.7389434576034546,"[563.915771484375, 116.93017578125, 594.2103271484375, 220.26507568359375]"
2025-08-24 01:11:34,person,0.703956127166748,"[478.5209045410156, 116.22767639160156, 514.952392578125, 238.8430633544922]"
2025-08-24 01:11:34,handbag,0.41179409623146057,"[33.80059814453125, 266.5836181640625, 105.5263671875, 324.90460205078125]"
2025-08-24 01:11:34,person,0.37308016419410706,"[0.0, 121.97663879394531, 26.136070251464844, 219.72325134277344]"
2025-08-24 01:11:34,person,0.33531126379966736,"[0.1407451629638672, 197.51353454589844, 43.44963073730469, 315.6900329589844]"
2025-08-24 01:11:34,person,0.7697873115539551,"[540.9263916015625, 102.69679260253906, 572.2713623046875, 241.40196228027344]"
2025-08-24 01:11:34,person,0.7685162425041199,"[374.657470703125, 164.21661376953125, 395.65228271484375, 216.50100708007812]"
2025-08-24 01:11:34,person,0.7628848552703857,"[564.4381103515625, 117.61325073242188, 594.0966796875, 217.83038330078125]"
2025-08-24 01:11:34,person,0.7012821435928345,"[478.32562255859375, 115.82582092285156, 512.2579956054688, 239.0843048095703]"
2025-08-24 01:11:34,handbag,0.3851827085018158,"[33.86541748046875, 266.1257629394531, 105.49574279785156, 324.9123840332031]"
